chapter,question_number,question_text,keywords
1,1,"""Do you need these for deep learning?\n\n- Lots of math T / F\n   - Lots of data T / F\n   - Lots of expensive computers T / F\n   - A PhD T / F""","""deep learning, math, data, computers, PhD"""
1,2,"""Name five areas where deep learning is now the best in the world""","deep learning, areas, best, world"
1,3,"""What was the name of the first device that was based on the principle of the artificial neuron?""","""neuron, neurons, device, artificial, principle"""
1,4,"""Based on the book of the same name, what are the requirements for parallel distributed processing (PDP)?""","""parallel, distributed, processing, PDP, requirements, book"""
1,5,"""What were the two theoretical misunderstandings that held back the field of neural networks?""","""neural, networks, theoretical, misunderstandings, field"""
1,6,"""What is a GPU?""","""GPU, graphics, processor, processors, computing, hardware"""
1,7,"""Open a notebook and execute a cell containing: 1+1. What happens?""","""notebook, execute, cell, calculation, result"""
1,10,"""Why is it hard to use a traditional computer program to recognize images in a photo?""","""computer, computers, image, images, recognition, photo, photos"""
1,11,"""What did Samuel mean by ""weight assignment""?""","""Samuel, weight, weights, assignment, assignments"""
1,12,"""What term do we normally use in deep learning for what Samuel called ""weights""?""","deep learning, weights, Samuel, term"
1,14,"""Why is it hard to understand why a deep learning model makes a particular prediction?""","""deep learning, model, prediction, understand, predictions"""
1,15,"""What is the name of the theorem that shows that a neural network can solve any mathematical problem to any level of accuracy?""","""theorem, neural, network, networks, mathematical, problem, accuracy"""
1,16,"""What do you need in order to train a model?""","""train, model, training, models, dataset, data"""
1,17,"""How could a feedback loop impact the rollout of a predictive policing model?""","""feedback, loop, rollout, predictive, policing, model, models"""
1,18,"""Do we always have to use 224×224-pixel images with the cat recognition model?""","""cat, cats, recognition, model, image, images, pixel, pixels"""
1,19,"""What is the difference between classification and regression?""","""classification, regression, difference, differences, machine learning, models"""
1,20,"""What is a validation set? What is a test set? Why do we need them?""","""validation, test, set, sets, need, purpose"""
1,21,"""What will fastai do if you don't provide a validation set?""","""fastai, validation, set, datasets"""
1,22,"""Can we always use a random sample for a validation set? Why or why not?""","""random, sample, samples, validation, set, sets"""
